session,invocation,runtime,model,cold_start_ms,warm_exec_ms,memory_peak_bytes
3,0,docker,2,211.413235,0.84496,5926912
3,1,docker,2,211.413235,0.462276,5926912
3,2,docker,2,211.413235,0.546315,5926912
3,3,docker,2,211.413235,0.219778,5926912
3,4,docker,2,211.413235,0.20651,5926912
3,5,docker,2,211.413235,0.194222,5926912
3,6,docker,2,211.413235,0.217515,5926912
3,7,docker,2,211.413235,0.202323,5926912
3,8,docker,2,211.413235,0.181553,5926912
3,9,docker,2,211.413235,0.189924,5926912
3,10,docker,2,211.413235,0.228328,5926912
3,11,docker,2,211.413235,0.227965,5926912
3,12,docker,2,211.413235,0.190099,5926912
3,13,docker,2,211.413235,0.225922,5926912
3,14,docker,2,211.413235,0.333963,5926912
3,15,docker,2,211.413235,0.194862,5926912
3,16,docker,2,211.413235,0.185995,5926912
3,17,docker,2,211.413235,0.21914,5926912
3,18,docker,2,211.413235,0.211744,5926912
3,19,docker,2,211.413235,0.200778,5926912
3,20,docker,2,211.413235,0.191448,5926912
3,21,docker,2,211.413235,0.167042,5926912
3,22,docker,2,211.413235,0.192968,5926912
3,23,docker,2,211.413235,0.203303,5926912
3,24,docker,2,211.413235,0.18099,5926912
3,25,docker,2,211.413235,0.184091,5926912
3,26,docker,2,211.413235,0.18334,5926912
3,27,docker,2,211.413235,0.18949,5926912
3,28,docker,2,211.413235,0.225928,5926912
3,29,docker,2,211.413235,0.200264,5926912
4,0,docker,2,221.267911,0.353131,5517312
4,1,docker,2,221.267911,0.234878,5517312
4,2,docker,2,221.267911,0.256487,5517312
4,3,docker,2,221.267911,0.190502,5517312
4,4,docker,2,221.267911,0.239161,5517312
4,5,docker,2,221.267911,0.195187,5517312
4,6,docker,2,221.267911,0.19036,5517312
4,7,docker,2,221.267911,0.218435,5517312
4,8,docker,2,221.267911,0.220803,5517312
4,9,docker,2,221.267911,0.490741,5517312
4,10,docker,2,221.267911,0.285536,5517312
4,11,docker,2,221.267911,0.195508,5517312
4,12,docker,2,221.267911,0.235117,5517312
4,13,docker,2,221.267911,0.33182,5517312
4,14,docker,2,221.267911,0.358741,5517312
4,15,docker,2,221.267911,0.226247,5517312
4,16,docker,2,221.267911,0.230424,5517312
4,17,docker,2,221.267911,0.211109,5517312
4,18,docker,2,221.267911,0.226978,5517312
4,19,docker,2,221.267911,0.236738,5517312
4,20,docker,2,221.267911,0.190126,5517312
4,21,docker,2,221.267911,0.213694,5517312
4,22,docker,2,221.267911,0.202735,5517312
4,23,docker,2,221.267911,0.211766,5517312
4,24,docker,2,221.267911,0.194839,5517312
4,25,docker,2,221.267911,0.196224,5517312
4,26,docker,2,221.267911,0.202224,5517312
4,27,docker,2,221.267911,0.197267,5517312
4,28,docker,2,221.267911,0.208177,5517312
4,29,docker,2,221.267911,0.206393,5517312
